rentfaster_id,city,province,address,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,link,furnishing,availability_date,smoking,cats,dogs
376787,Toronto,Ontario,15 Roehampton Ave,43.7079426,-79.3978607,Long Term,Apartment,2631,1 Bed,1,,/on/toronto/rentals/apartment/1-bedroom/non-smoking/376787,Unfurnished,Immediate,Non-Smoking,FALSE,FALSE
565587,Toronto,Ontario,"320, 326, 330, 340, 342 Avenue Road",43.6802614,-79.3992291,Long Term,Apartment,2296.37,1 Bed,1,581,/on/toronto/rentals/apartment/1-bedroom/565587,Unfurnished,01-Aug,,FALSE,FALSE
565582,Toronto,Ontario,2 Regal Road,43.6756197,-79.4333534,Long Term,Apartment,2472.54,1 Bed,1,747,/on/toronto/rentals/apartment/1-bedroom/565582,Unfurnished,01-Aug,,FALSE,FALSE
443307,Toronto,Ontario,25 Selby Street,43.6711041,-79.3771951,Long Term,Apartment,3926,2 Beds,2,843,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/443307,Unfurnished,07-Aug,Non-Smoking,TRUE,TRUE
565586,Toronto,Ontario,125 Bamburgh Circle,43.8130903,-79.3256108,Long Term,Apartment,2249.63,1 Bed,1,705,/on/toronto/rentals/apartment/1-bedroom/565586,Unfurnished,01-Jul,,FALSE,FALSE
565585,Toronto,Ontario,580 The East Mall,43.6536452,-79.564339,Long Term,Apartment,2532.07,1 Bed,1,779,/on/toronto/rentals/apartment/1-bedroom/565585,Unfurnished,29-Jun,,FALSE,FALSE
540048,Toronto,Ontario,20 Monte Kwinter Court,43.7337012,-79.4471467,Long Term,Apartment,2454.32,1 Bed,1,587,/on/toronto/rentals/apartment/1-bedroom/540048,Unfurnished,30-Jun,,FALSE,FALSE
383122,Toronto,Ontario,44 Lillian Street,43.70565508,-79.39360834,Long Term,Apartment,3435,2 Beds,2,828,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/383122,Unfurnished,30-Jun,Non-Smoking,TRUE,TRUE
379360,Toronto,Ontario,45 Dunfield Avenue,43.70608104,-79.39454053,Long Term,Apartment,2500,1 Bed,1,569,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/379360,Unfurnished,15-Jul,Non-Smoking,TRUE,TRUE
502247,Toronto,Ontario,57 Spadina,43.6448914,-79.3945469,Long Term,Apartment,3592,2 Beds,2,821,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/502247,Unfurnished,Immediate,Non-Smoking,TRUE,TRUE
379361,Toronto,Ontario,118 Balliol Street,43.6989031,-79.3928964,Long Term,Apartment,2500,1 Bed,1,506,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/379361,Unfurnished,31-Aug,Non-Smoking,TRUE,TRUE
567465,Toronto,Ontario,70 Spadina Road,43.6704926,-79.4056939,Long Term,Apartment,2168.75,Studio,1,475,/on/toronto/rentals/apartment/1-bedroom/567465,Unfurnished,01-Aug,,FALSE,FALSE
546072,Toronto,Ontario,31 Phipps Street,43.6649374,-79.3867668,Long Term,Apartment,3350,2 Beds,1,740,/on/toronto/rentals/apartment/1-bedroom/546072,Unfurnished,31-Jul,,FALSE,FALSE
415753,Toronto,Ontario,167 Church Street,43.6543938,-79.3759018,Long Term,Apartment,2050,Studio,1,365,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/415753,Unfurnished,01-Jul,Non-Smoking,TRUE,TRUE
523931,Toronto,Ontario,251-283 The West Mall,43.632238,-79.5600586,Long Term,Apartment,3295,3 Beds,1,1036,/on/toronto/rentals/apartment/2-bedrooms/pet-friendly/523931,Unfurnished,15-Jun,,TRUE,TRUE
523932,Toronto,Ontario,166 Eastbourne Avenue,43.7050948,-79.4050048,Long Term,Apartment,1995,1 Bed,1,,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/523932,Unfurnished,15-Jun,Non-Smoking,TRUE,TRUE
557641,Toronto,Ontario,130 Raglan Avenue,43.6872021,-79.4215403,Long Term,Apartment,3715.5,2 Beds,1.5,1111,/on/toronto/rentals/apartment/2-bedrooms/557641,Unfurnished,30-Jun,,FALSE,FALSE
544792,Toronto,Ontario,147 Vaughan Road,43.68538624,-79.42150834,Long Term,Apartment,1995,1 Bed,1,527,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/544792,Unfurnished,15-Jun,,TRUE,TRUE
523922,Toronto,Ontario,34 Noble Street,43.6428771,-79.4313423,Long Term,Apartment,3495,2 Beds,1,815,/on/toronto/rentals/apartment/2-bedrooms/pet-friendly/523922,Unfurnished,15-Jun,,TRUE,TRUE
492232,Toronto,Ontario,18 Tretti Way,43.7325523,-79.44763355,Long Term,Apartment,2700,2 Beds,2,603,/on/toronto/rentals/apartment/2-bedrooms/pet-friendly/492232,Unfurnished,31-Jul,Non-Smoking,TRUE,TRUE
410799,Toronto,Ontario,105 Harrison Garden Blvd.,43.7575925,-79.4050586,Long Term,Apartment,2495,1 Bed,1,659,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/410799,Unfurnished,01-Jul,Non-Smoking,TRUE,TRUE
528441,Toronto,Ontario,571 Prince Edward Drive North,43.6604228,-79.5099746,Long Term,Apartment,2600,1 Bed,1,741,/on/toronto/rentals/apartment/1-bedroom/pet-friendly/528441,Unfurnished,01-Aug,Non-Smoking,TRUE,TRUE
