adaptive_cell_id,rental_count,seed_rental_idx,seed_local_k_radius_m,x_centroid,y_centroid,radius_m,mean_rent,median_rent,mean_price_per_bedroom,member_rental_idx,centroid_lon,centroid_lat,cell_area_km2,crime_count_in_circle,violent_crime_count_in_circle,violent_crime_ratio_in_circle,restaurant_count_in_circle,subway_count_in_circle
ac_0046,5,595,74.43120302246265,628977.9595599775,4833311.390997244,74.43120302246265,2116.6,2100.0,2116.6,"595,1120,6,286,450",-79.40088115,43.64161485999999,0.017404435815016692,0,0,0.0,0,0
ac_0047,5,12,76.72343276663324,631436.1520999214,4835039.853428686,76.72343276663324,1735.4,1799.0,1735.4,"12,13,1123,459,500",-79.3699948,43.65674140000001,0.018492938457140038,382,307,0.8036649214659686,0,0
ac_0048,5,543,77.67832657912368,630971.8890428613,4834777.228032312,77.67832657912368,2339.0,2050.0,2040.0,"543,691,329,350,620",-79.3758138,43.6544596,0.01895612634742055,73,40,0.547945205479452,0,0
ac_0049,5,943,79.67422109295457,630485.2989569384,4835852.678138115,79.67422109295457,1935.8,1815.0,1935.8,"943,756,31,714,537",-79.3815856,43.664224700000005,0.019942772066789377,26,12,0.46153846153846156,1,0
ac_0050,5,1173,81.60572189869748,629992.4767370198,4834215.1919460185,81.60572189869748,2870.0,3150.0,2195.0,"1173,509,345,562,358",-79.3880901,43.649572899999995,0.020921416945128724,0,0,0.0,1,0
ac_0051,5,124,82.59997673054781,626648.5744745387,4835273.92612899,82.59997673054781,1705.0,1717.0,1705.0,"124,125,126,134,133",-79.4292906,43.6596793,0.02143432061656926,0,0,0.0,0,0
ac_0052,5,142,87.56114617087795,629289.3351039015,4833985.083988039,87.56114617087795,2790.0,2850.0,2205.0,"142,591,564,16,374",-79.3968608,43.64762439999999,0.02408644736321821,99,47,0.47474747474747475,9,0
ac_0053,5,532,89.73304450136028,629237.0986031926,4832860.299063021,89.73304450136028,2420.0,2400.0,2100.0,"532,1059,572,106,95",-79.39777740000001,43.6375098,0.025296164602421133,30,20,0.6666666666666666,0,0
ac_0054,5,1133,90.64920485325732,630413.095842592,4835506.331676499,90.64920485325732,2580.0,2800.0,1670.0,"1133,574,558,171,230",-79.3825645,43.66112009999999,0.025815341267104695,461,380,0.824295010845987,20,1
ac_0055,5,8,92.8948585922081,631020.4566818449,4836334.5844177,92.8948585922081,1890.0,1750.0,1690.0,"39,8,9,38,387",-79.3748336,43.6684679,0.027110231656090413,186,145,0.7795698924731183,0,0
ac_0056,5,610,93.51773991043906,628567.2423824954,4836145.905517944,93.51773991043906,1939.6,1949.0,1939.6,"610,883,725,1088,224",-79.4052963,43.6671982,0.02747501116854057,49,37,0.7551020408163265,6,0
ac_0057,5,302,93.58115096835719,627107.6767167558,4833266.5007165605,93.58115096835719,2177.8,2400.0,1378.9,"1086,302,78,454,323",-79.4240715,43.6415328,0.02751228345922614,86,49,0.5697674418604651,0,0
ac_0058,5,100,94.19795369058241,630932.8637985172,4836408.176681194,94.19795369058241,1790.0,1650.0,1590.0,"102,101,100,233,594",-79.3759018,43.669145699999994,0.027876151086208268,93,66,0.7096774193548387,0,0
ac_0059,5,328,94.44680015022598,629074.7370067086,4833061.243095576,94.44680015022598,2650.0,2400.0,1903.3333333333333,"328,7,411,80,141",-79.3997415,43.6393466,0.02802362868951624,94,45,0.4787234042553192,1,0
ac_0060,5,807,95.8104805413971,628909.6446478058,4836587.282143252,95.8104805413971,2415.0,2300.0,2115.5,"807,824,1029,1004,812",-79.4009454,43.6711115,0.028838715289769997,0,0,0.0,0,0
ac_0061,5,4,96.5202101287963,626268.0315062194,4832512.613877693,96.5202101287963,1960.8,1849.0,1782.9,"4,773,215,1092,1116",-79.4346541,43.63489030000001,0.029267551426058715,0,0,0.0,0,0
ac_0062,5,92,96.75917675894483,630944.9797043945,4833755.795896759,96.75917675894483,2660.0,2600.0,1810.0,"92,511,399,391,155",-79.37639510000001,43.645271,0.029412653183077567,30,17,0.5666666666666667,0,0
ac_0063,5,284,98.95290716649953,629284.9450236802,4833196.457833342,98.95290716649953,2250.0,2350.0,2250.0,"284,93,394,361,46",-79.397104,43.6405271,0.03076146315810061,0,0,0.0,4,0
ac_0064,5,45,99.69956789216282,630902.3228506519,4833466.987153624,99.69956789216282,2245.0,2250.0,1925.0,"45,225,192,15,364",-79.3769938,43.64267910000001,0.03122744303375067,92,43,0.4673913043478261,3,0
ac_0065,5,367,102.5178079610502,630318.4475755468,4835257.488690996,102.5178079610502,2292.4,2100.0,1787.4,"367,590,760,84,385",-79.383798,43.658897,0.033017827611770745,26,21,0.8076923076923077,8,0
ac_0066,5,791,104.0582177753984,631113.211193846,4835846.768611063,104.0582177753984,1963.8,2019.0,1753.8,"791,28,27,774,139",-79.3738021,43.66406099999999,0.03401751926844062,66,45,0.6818181818181818,0,0
ac_0067,5,647,104.08671853775726,629542.7611204648,4840580.616413252,104.08671853775726,2712.2,2400.0,2222.2,"647,787,717,641,599",-79.3921349,43.70694319999999,0.03403615610513201,0,0,0.0,2,0
ac_0068,5,1045,105.86422541757469,630292.0823909172,4835691.730787737,105.86422541757469,2593.0,2495.0,2593.0,"1045,1159,1027,600,1075",-79.38402,43.66281000000001,0.03520856470286336,337,272,0.8071216617210683,11,0
ac_0069,5,984,106.54404011123887,633331.7249226168,4848206.874400396,106.54404011123887,2510.602,2455.0,2215.3010000000004,"984,979,636,956,994",-79.3432338,43.7749096,0.035662205215551794,69,46,0.6666666666666666,0,0
ac_0070,5,927,108.8092103603111,626041.4349433149,4832866.2045265045,108.8092103603111,1815.6,1725.0,1815.6,"927,875,827,842,216",-79.4373797,43.63811129999999,0.037194711107396736,73,44,0.6027397260273972,0,0
ac_0071,5,630,112.17013190635808,628062.6230675266,4832982.96582865,112.17013190635808,2199.4,2200.0,2199.4,"630,88,1114,479,143",-79.4123034,43.638816999999996,0.03952795385257027,9,2,0.2222222222222222,0,0
ac_0072,5,137,118.08037789222365,630148.3474790571,4835469.555152849,118.08037789222365,2180.0,2500.0,1590.0,"137,388,119,587,108",-79.3858556,43.66083549999998,0.04380314984976537,192,151,0.7864583333333334,12,0
ac_0073,5,335,119.1057772985607,628987.0488309003,4832856.99918102,119.1057772985607,2700.0,2600.0,1780.0,"335,372,585,287,505",-79.400877,43.6375235,0.044567218304062656,60,37,0.6166666666666667,1,0
ac_0074,5,227,119.91404182467834,629853.5162860041,4833816.1720313085,119.91404182467834,2330.0,2300.0,1715.0,"227,495,352,240,228",-79.3899085,43.646005800000005,0.04517414648701209,157,106,0.6751592356687898,28,0
ac_0075,5,34,124.2731591766245,631381.2010492082,4834535.341508447,124.2731591766245,2030.0,2200.0,2030.0,"34,331,190,76,520",-79.3707988,43.6522103,0.048518185460383285,66,31,0.4696969696969697,1,0
ac_0076,5,1113,125.72548957036926,626739.9865864265,4832665.797041219,125.72548957036926,2076.8,2125.0,2076.8,"1113,737,728,730,751",-79.4287695,43.636188800000006,0.049658836919008534,48,41,0.8541666666666666,0,0
ac_0077,5,551,127.06378971696668,629777.3500751941,4833177.09809324,127.06378971696668,2510.0,2550.0,2510.0,"551,428,209,494,386",-79.3910061,43.6402671,0.050721662625066444,53,37,0.6981132075471698,5,0
ac_0078,5,661,127.66088158602743,629428.9732212779,4839644.631108605,127.66088158602743,2409.0,2350.0,2409.0,"661,688,368,720,726",-79.39377166,43.69853878,0.05119948011263379,0,0,0.0,0,0
ac_0079,5,690,128.4742573844699,630066.0181485348,4835923.696928664,128.4742573844699,2480.0,2300.0,2145.0,"690,348,116,259,770",-79.3867668,43.66493740000001,0.05185398106347454,147,84,0.5714285714285714,9,0
ac_0080,5,18,128.9142916980193,630561.5135219442,4833419.811139288,128.9142916980193,2750.0,3000.0,1825.0,"18,401,203,402,222",-79.3812291,43.642314400000004,0.05220979719871576,190,126,0.6631578947368421,6,0
