adaptive_cell_id,rental_count,seed_grid_x,seed_grid_y,growth_rings,x_centroid,y_centroid,seed_local_k_radius_m,radius_m,mean_rent,median_rent,mean_price_per_bedroom,member_rental_idx,centroid_lon,centroid_lat,cell_area_km2,crime_count_in_circle,violent_crime_count_in_circle,violent_crime_ratio_in_circle,restaurant_count_in_circle,subway_count_in_circle,crime_assignment_median_dist_m,restaurant_assignment_median_dist_m,subway_assignment_median_dist_m
ac_0059,3,87,16,0,621350.0,4828850.0,39.97139784635213,39.97139784635213,2114.6666666666665,1999.0,1706.3333333333333,"1011,1070,1090",-79.49642377751675,43.60274159737756,0.005019362310565659,175,127,0.7257142857142858,3,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0060,3,136,52,0,626250.0,4832450.0,63.90412816302028,63.90412816302028,1975.6666666666667,1849.0,1679.1666666666667,"215,1092,1057",-79.43489218451357,43.63432979015463,0.012829440031648248,95,63,0.6631578947368421,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0061,3,136,53,0,626250.0,4832550.0,41.50731691738703,41.50731691738703,1629.0,1729.0,1629.0,"160,304,4",-79.434868818955,43.63522986236342,0.005412516018071878,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0062,3,142,55,0,626850.0,4832750.0,44.15388715964043,44.15388715964043,1735.0,1755.0,1735.0,"32,730,518",-79.42738636963816,43.636927933063426,0.006124741441994013,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0063,3,135,56,0,626150.0,4832850.0,37.938454305022034,37.938454305022034,1882.3333333333333,1929.0,1882.3333333333333,"842,799,216",-79.43603802388832,43.63794704381278,0.004521776977492883,162,124,0.7654320987654321,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0064,3,163,56,0,628950.0,4832850.0,37.70416961071866,37.70416961071866,3000.0,3100.0,1900.0,"335,372,585",-79.40133780901814,43.637466926736685,0.004466101958306794,94,53,0.5638297872340425,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0065,3,154,57,0,628050.0,4832950.0,46.70976485798336,46.70976485798336,2349.0,2200.0,2349.0,"88,630,1114",-79.41246765325248,43.63852246029692,0.006854333552896105,62,34,0.5483870967741935,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0066,3,166,57,0,629250.0,4832950.0,20.226011265774947,20.226011265774947,2533.3333333333335,2400.0,2000.0,"561,95,572",-79.39759605551052,43.63831491665522,0.0012851989507075738,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0067,3,164,59,0,629050.0,4833150.0,10.498590949936368,10.498590949936368,2533.3333333333335,2400.0,2066.6666666666665,"7,80,411",-79.40002686584721,43.64014975427513,0.0003462676364077647,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0068,3,167,59,0,629350.0,4833150.0,32.063383738720034,32.063383738720034,2400.0,2500.0,2400.0,"46,361,421",-79.39630887372928,43.640097643519866,0.0032297475554460752,0,0,0.0,1,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0069,3,145,60,0,627150.0,4833250.0,45.42613731736152,45.42613731736152,2000.0,2400.0,1150.0,"454,302,1086",-79.4235508400992,43.64137704842385,0.006482783102703602,190,131,0.6894736842105263,5,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0070,3,179,60,0,630550.0,4833250.0,41.37133139849901,41.37133139849901,3010.0,3200.0,2476.6666666666665,"191,296,575",-79.38141283725956,43.64078803973265,0.005377109338967145,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0071,3,144,61,0,627050.0,4833350.0,47.253713581951224,47.253713581951224,2000.0,2000.0,1666.6666666666667,"323,353,354",-79.42476669024389,43.642294203899525,0.007014904482092672,260,150,0.5769230769230769,40,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0072,3,177,61,0,630350.0,4833350.0,50.51519470791484,50.51519470791484,3000.0,2400.0,2066.6666666666665,"161,239,481",-79.38386737558905,43.64172316597928,0.008016668684004236,126,78,0.6190476190476191,8,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0073,3,181,61,0,630750.0,4833350.0,17.975077715792537,17.975077715792537,2233.3333333333335,2300.0,2233.3333333333335,"310,548,549",-79.37890996502657,43.641652955359085,0.0010150593271307413,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0074,3,171,63,0,629750.0,4833550.0,56.16598527819069,56.16598527819069,2466.6666666666665,2400.0,2466.6666666666665,"441,444,1079",-79.3912554790217,43.6436281828696,0.009910524426654067,171,99,0.5789473684210527,6,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0075,3,170,65,0,629650.0,4833750.0,46.261283329076846,46.261283329076846,3000.0,2400.0,2683.3333333333335,"262,117,566",-79.39244686471872,43.64544572681488,0.0067233423407321875,86,72,0.8372093023255814,6,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0076,3,171,65,0,629750.0,4833750.0,44.398624284446335,44.398624284446335,2483.3333333333335,3000.0,1958.3333333333333,"412,1041,228",-79.39120742863439,43.64542828614282,0.00619282631144307,28,20,0.7142857142857143,6,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0077,3,172,66,0,629850.0,4833850.0,34.01022982948075,34.01022982948075,2683.3333333333335,3050.0,1658.3333333333333,"227,352,495",-79.38994394830873,43.64631088290012,0.0036338668174014277,157,106,0.6751592356687898,24,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0078,3,184,66,0,631050.0,4833850.0,58.97970255995942,58.97970255995942,3083.3333333333335,2650.0,2416.6666666666665,"198,272,362",-79.37507059390339,43.646100379330335,0.010928360899393344,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0079,3,170,69,0,629650.0,4834150.0,49.409831159031,49.409831159031,2216.6666666666665,2100.0,2216.6666666666665,"40,184,529",-79.39235082455566,43.649045933706766,0.00766966883885704,427,313,0.7330210772833724,19,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0080,3,173,69,0,629950.0,4834150.0,53.02306987589162,53.02306987589162,3450.0,4000.0,2100.0,"237,318,356",-79.38863229773406,43.648993564848574,0.008832417908127332,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0081,3,174,69,0,630050.0,4834150.0,53.66513715310991,53.66513715310991,2250.0,2200.0,2250.0,"467,536,163",-79.38739279102262,43.648976081693895,0.00904762016722041,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0082,3,174,70,0,630050.0,4834250.0,37.22599431461723,37.22599431461723,3000.0,3200.0,2400.0,"358,562,345",-79.38736870422257,43.64987613085243,0.004353539468490698,94,68,0.723404255319149,10,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0083,3,184,70,0,631050.0,4834250.0,50.32006115993467,50.32006115993467,2400.0,2200.0,1883.3333333333333,"472,1065,121",-79.37497351368668,43.64970055494202,0.007954853634918324,383,241,0.6292428198433421,62,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0084,3,172,72,0,629850.0,4834450.0,29.728049248531242,29.728049248531242,2750.0,2500.0,2750.0,"256,257,261",-79.3897996527842,43.651711184861995,0.002776404222685128,93,52,0.5591397849462365,14,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0085,3,173,73,0,629950.0,4834550.0,44.470499088573625,44.470499088573625,2881.6666666666665,2545.0,2265.0,"211,244,550",-79.38853601782029,43.652593762750264,0.006212893080062728,32,24,0.75,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0086,3,187,73,0,631350.0,4834550.0,39.075796389780656,39.075796389780656,2383.3333333333335,2450.0,2383.3333333333335,"34,190,331",-79.3711819899874,43.652347745337835,0.004796953942592783,236,125,0.5296610169491526,10,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0087,3,177,74,0,630350.0,4834650.0,37.01001720292635,37.01001720292635,1975.0,2000.0,1350.0,"451,530,570",-79.38355355498612,43.65342378768184,0.004303169435868611,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0088,3,181,75,0,630750.0,4834750.0,57.86827545775757,57.86827545775757,2343.3333333333335,2250.0,1876.6666666666667,"473,408,486",-79.37857096095013,43.65425359309843,0.010520368514477622,432,356,0.8240740740740741,17,1,673.7528577394792,290.34015792032005,394.39759579881957
ac_0089,3,183,75,0,630950.0,4834750.0,34.935597046368976,34.935597046368976,1893.3333333333333,1930.0,1893.3333333333333,"329,691,543",-79.37609174460098,43.654218391811064,0.003834301081938611,196,129,0.6581632653061225,6,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0090,3,188,78,0,631450.0,4835050.0,17.167330777296097,17.167330777296097,1842.3333333333333,1829.0,1842.3333333333333,"12,13,1123",-79.36982066257507,43.656830274641685,0.0009258815349735301,546,418,0.7655677655677655,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0091,3,140,79,0,626650.0,4835150.0,57.43024010463777,57.43024010463777,1690.3333333333333,1717.0,1690.3333333333333,"132,133,134",-79.42930201119628,43.65856364021161,0.010361702924212537,194,116,0.5979381443298969,3,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0092,3,140,80,0,626650.0,4835250.0,23.968557972640067,23.968557972640067,1737.0,1757.0,1737.0,"124,125,126",-79.42927854236915,43.659463706182486,0.0018048191282255645,652,489,0.75,46,1,673.7528577394792,290.34015792032005,394.39759579881957
ac_0093,3,189,80,0,631550.0,4835250.0,40.54858789895813,40.54858789895813,1728.3333333333333,1380.0,1728.3333333333333,"1028,173,283",-79.36853225634913,43.658612663923684,0.005165368880972132,347,218,0.6282420749279539,8,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0094,3,195,81,0,632150.0,4835350.0,3.960438605550631,3.960438605550631,2266.6666666666665,2600.0,1133.3333333333333,"193,229,589",-79.36106963230677,43.65940627316388,4.927611308710448e-05,159,119,0.7484276729559748,2,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0095,3,177,82,0,630350.0,4835450.0,59.98835449968557,59.98835449968557,2656.6666666666665,2450.0,2081.6666666666665,"82,83,669",-79.38336034064075,43.66062415741987,0.011305343728790532,0,0,0.0,19,1,673.7528577394792,290.34015792032005,394.39759579881957
ac_0096,3,181,82,0,630750.0,4835450.0,43.2310344322522,43.2310344322522,1966.6666666666667,1850.0,1966.6666666666667,"74,157,554",-79.37840137643114,43.660553900721176,0.005871392687450078,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0097,3,178,86,0,630450.0,4835850.0,46.97025122979801,46.97025122979801,2051.3333333333335,2139.0,2051.3333333333335,"943,756,31",-79.38202388984593,43.664206792409956,0.006930995851371355,130,89,0.6846153846153846,8,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0098,3,176,87,0,630250.0,4835950.0,56.40088052375486,56.40088052375486,2933.3333333333335,3300.0,1833.3333333333333,"118,490,10",-79.38447938168666,43.66514191684921,0.009993592602455774,271,227,0.8376383763837638,14,1,673.7528577394792,290.34015792032005,394.39759579881957
ac_0099,3,159,89,0,628550.0,4836150.0,41.719305633869205,41.719305633869205,2166.0,2250.0,2166.0,"610,883,725",-79.40550911117235,43.667238035546546,0.005467943466786432,277,168,0.6064981949458483,27,1,673.7528577394792,290.34015792032005,394.39759579881957
ac_0100,3,165,92,0,629150.0,4836450.0,59.33163227453129,59.33163227453129,3020.0,2400.0,2203.3333333333335,"1100,357,831",-79.3979979429791,43.669834151164956,0.011059168254446331,87,57,0.6551724137931034,9,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0101,3,179,92,0,630550.0,4836450.0,4.785061345376782,4.785061345376782,2841.6666666666665,3100.0,1729.1666666666667,"94,390,393",-79.38063886743504,43.66958949338777,7.193245661807232e-05,132,71,0.5378787878787878,3,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0102,3,163,93,0,628950.0,4836550.0,54.94099249354284,54.94099249354284,2558.3333333333335,2435.0,2059.1666666666665,"824,812,807",-79.40045391989806,43.670768938801835,0.00948293718540886,28,8,0.2857142857142857,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0103,3,179,94,0,630550.0,4836650.0,36.34841017851964,36.34841017851964,1953.0,1970.0,1953.0,"632,195,204",-79.38059045620516,43.67138957903939,0.004150693961616547,127,69,0.5433070866141733,10,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0104,3,242,113,0,636850.0,4838550.0,35.91508461947081,35.91508461947081,2601.6666666666665,2555.0,2135.0,"1060,1110,1187",-79.30199273782374,43.6873560518609,0.0040523193253224005,816,528,0.6470588235294118,32,1,673.7528577394792,290.34015792032005,394.39759579881957
ac_0105,3,58,129,0,618450.0,4840150.0,28.912595676690962,28.912595676690962,1791.3333333333333,1799.0,1035.9444444444446,"58,59,60",-79.52986452604692,43.70492082857411,0.0026261772726755396,2719,1651,0.6072085325487312,30,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0106,3,162,134,0,628850.0,4840650.0,56.78363387983765,56.78363387983765,1776.6666666666667,1950.0,1487.7777777777776,"742,713,299",-79.40071342623293,43.70768829475864,0.010129691902618768,87,55,0.632183908045977,11,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0107,3,132,179,0,625850.0,4845150.0,36.174120844654624,36.174120844654624,2074.3333333333335,2177.0,1711.5,"127,130,955",-79.43688243726078,43.74870578529554,0.004110984533254853,621,239,0.38486312399355876,8,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0108,3,60,0,1,618650.0,4827250.0,65.88013163545634,65.88013163545634,1983.3333333333333,1925.0,1983.3333333333333,"881,931,879",-79.53021756185916,43.5887747563279,0.013635114499079832,41,25,0.6097560975609756,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0109,3,101,41,1,622750.0,4831350.0,163.63374772438303,163.63374772438303,2475.0,2550.0,2050.0,"182,417,1146",-79.4785158540685,43.62501452101244,0.08411929555611315,236,142,0.6016949152542372,5,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0110,3,141,53,1,626750.0,4832550.0,80.54094770269744,80.54094770269744,2156.3333333333335,2125.0,2156.3333333333335,"751,728,737",-79.42867257194678,43.63514484019947,0.02037902226229684,144,99,0.6875,2,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0111,3,163,53,2,628950.0,4832550.0,188.69106061057363,188.69106061057363,2400.0,2100.0,1850.0,"271,349,510",-79.40140940931657,43.63476675443279,0.11185425869489143,70,39,0.5571428571428572,2,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0112,3,133,56,1,625950.0,4832850.0,92.85976275130913,92.85976275130913,1883.3333333333333,1725.0,1883.3333333333333,"827,875,927",-79.43851664334125,43.63798093499593,0.027089750939279893,75,47,0.6266666666666667,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0113,3,166,56,1,629250.0,4832850.0,75.15538353451858,75.15538353451858,2166.6666666666665,2200.0,2166.6666666666665,"532,1059,106",-79.39761997993966,43.63741486115272,0.01774475729276993,30,20,0.6666666666666666,1,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0114,3,152,57,1,627850.0,4832950.0,100.62455720399426,100.62455720399426,2999.6666666666665,2699.0,1849.8333333333333,"274,334,1145",-79.41494626828973,43.638556862887135,0.03180957284705135,140,69,0.4928571428571429,1,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0115,3,164,57,1,629050.0,4832950.0,78.97677837702672,78.97677837702672,2216.6666666666665,2300.0,2216.6666666666665,"73,507,505",-79.40007464409027,43.63834964155854,0.019595154890076485,44,26,0.5909090909090909,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0116,3,166,59,1,629250.0,4833150.0,61.61722489222633,61.61722489222633,2083.3333333333335,2150.0,2083.3333333333335,"394,284,93",-79.39754820332705,43.640115027201944,0.011927629546595386,82,27,0.32926829268292684,3,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0117,3,168,59,1,629450.0,4833150.0,82.20915190514891,82.20915190514891,2226.6666666666665,1950.0,1705.0,"422,438,452",-79.39506954524089,43.640080246407486,0.02123196592474546,104,62,0.5961538461538461,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0118,3,171,59,1,629750.0,4833150.0,82.06050936994572,82.06050936994572,2550.0,2550.0,2550.0,"551,428,209",-79.39135156644043,43.64002797448895,0.021155256215217928,50,35,0.7,2,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0119,3,151,60,1,627750.0,4833250.0,128.8306742285091,128.8306742285091,2881.6666666666665,2995.0,2331.6666666666665,"1062,418,1147",-79.41611462938236,43.64127423391693,0.05214208965092906,337,237,0.7032640949554896,18,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0120,3,164,60,1,629050.0,4833250.0,93.9818925716539,93.9818925716539,2085.3333333333335,1900.0,2085.3333333333335,"6,286,1120",-79.40000297506553,43.641049810404326,0.02774841911837446,13,3,0.23076923076923078,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0121,3,169,60,1,629550.0,4833250.0,92.2397121751591,92.2397121751591,3433.3333333333335,2800.0,1444.4444444444443,"1107,254,453",-79.39380623464953,43.640962889278455,0.02672918709550736,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
