grid_id,grid_ix,grid_iy,crime,rentals,restaurants,subway,total_points,x_min,x_max,y_min,y_max,x_centroid,y_centroid,centroid_lon,centroid_lat,cell_area_km2
g_6_25,6,25,4.0,0.0,0.0,0.0,4.0,612500.0,613000.0,4839500.0,4840000.0,612750.0,4839750.0,-79.60067218700122,43.70220822871729,0.25
g_6_29,6,29,186.0,0.0,4.0,0.0,190.0,612500.0,613000.0,4841500.0,4842000.0,612750.0,4841750.0,-79.60025318908377,43.72021078005021,0.25
g_6_30,6,30,44.0,0.0,0.0,0.0,44.0,612500.0,613000.0,4842000.0,4842500.0,612750.0,4842250.0,-79.60014837887783,43.72471140848718,0.25
g_6_31,6,31,101.0,0.0,2.0,0.0,103.0,612500.0,613000.0,4842500.0,4843000.0,612750.0,4842750.0,-79.60004354436781,43.729212033165474,0.25
g_6_32,6,32,107.0,0.0,0.0,0.0,107.0,612500.0,613000.0,4843000.0,4843500.0,612750.0,4843250.0,-79.59993868554695,43.733712654085,0.25
g_6_33,6,33,43.0,0.0,0.0,0.0,43.0,612500.0,613000.0,4843500.0,4844000.0,612750.0,4843750.0,-79.5998338024085,43.73821327124571,0.25
g_6_34,6,34,68.0,0.0,0.0,0.0,68.0,612500.0,613000.0,4844000.0,4844500.0,612750.0,4844250.0,-79.59972889494574,43.7427138846475,0.25
g_6_35,6,35,46.0,0.0,0.0,0.0,46.0,612500.0,613000.0,4844500.0,4845000.0,612750.0,4844750.0,-79.59962396315191,43.74721449429027,0.25
g_6_36,6,36,114.0,0.0,0.0,0.0,114.0,612500.0,613000.0,4845000.0,4845500.0,612750.0,4845250.0,-79.59951900702026,43.75171510017396,0.25
g_6_37,6,37,56.0,0.0,0.0,0.0,56.0,612500.0,613000.0,4845500.0,4846000.0,612750.0,4845750.0,-79.59941402654405,43.7562157022985,0.25
g_6_38,6,38,1.0,0.0,0.0,0.0,1.0,612500.0,613000.0,4846000.0,4846500.0,612750.0,4846250.0,-79.59930902171651,43.76071630066378,0.25
g_7_12,7,12,1.0,0.0,0.0,0.0,1.0,613000.0,613500.0,4833000.0,4833500.0,613250.0,4833250.0,-79.59583366317565,43.6436235486284,0.25
g_7_15,7,15,7.0,0.0,0.0,0.0,7.0,613000.0,613500.0,4834500.0,4835000.0,613250.0,4834750.0,-79.59551900871568,43.65712557870693,0.25
g_7_18,7,18,14.0,0.0,2.0,0.0,16.0,613000.0,613500.0,4836000.0,4836500.0,613250.0,4836250.0,-79.59520413546153,43.670627574952796,0.25
g_7_20,7,20,50.0,0.0,0.0,0.0,50.0,613000.0,613500.0,4837000.0,4837500.0,613250.0,4837250.0,-79.59499409831669,43.67962888698633,0.25
g_7_21,7,21,0.0,0.0,1.0,0.0,1.0,613000.0,613500.0,4837500.0,4838000.0,613250.0,4837750.0,-79.59488904323143,43.68412953736372,0.25
g_7_22,7,22,125.0,0.0,5.0,0.0,130.0,613000.0,613500.0,4838000.0,4838500.0,613250.0,4838250.0,-79.5947839637953,43.68863018398145,0.25
g_7_23,7,23,4.0,0.0,0.0,0.0,4.0,613000.0,613500.0,4838500.0,4839000.0,613250.0,4838750.0,-79.59467886000155,43.693130826839386,0.25
g_7_24,7,24,19.0,0.0,0.0,0.0,19.0,613000.0,613500.0,4839000.0,4839500.0,613250.0,4839250.0,-79.59457373184344,43.69763146593748,0.25
g_7_25,7,25,14.0,0.0,0.0,0.0,14.0,613000.0,613500.0,4839500.0,4840000.0,613250.0,4839750.0,-79.59446857931418,43.70213210127562,0.25
g_7_26,7,26,2.0,0.0,0.0,0.0,2.0,613000.0,613500.0,4840000.0,4840500.0,613250.0,4840250.0,-79.59436340240708,43.70663273285376,0.25
g_7_27,7,27,22.0,0.0,0.0,0.0,22.0,613000.0,613500.0,4840500.0,4841000.0,613250.0,4840750.0,-79.59425820111535,43.711133360671795,0.25
g_7_28,7,28,103.0,0.0,1.0,0.0,104.0,613000.0,613500.0,4841000.0,4841500.0,613250.0,4841250.0,-79.59415297543225,43.715633984729635,0.25
g_7_29,7,29,38.0,0.0,1.0,0.0,39.0,613000.0,613500.0,4841500.0,4842000.0,613250.0,4841750.0,-79.59404772535099,43.720134605027205,0.25
g_7_30,7,30,18.0,0.0,0.0,0.0,18.0,613000.0,613500.0,4842000.0,4842500.0,613250.0,4842250.0,-79.59394245086482,43.724635221564405,0.25
g_7_31,7,31,68.0,0.0,0.0,0.0,68.0,613000.0,613500.0,4842500.0,4843000.0,613250.0,4842750.0,-79.59383715196697,43.72913583434119,0.25
g_7_32,7,32,91.0,0.0,0.0,0.0,91.0,613000.0,613500.0,4843000.0,4843500.0,613250.0,4843250.0,-79.59373182865069,43.73363644335745,0.25
g_7_33,7,33,126.0,0.0,0.0,0.0,126.0,613000.0,613500.0,4843500.0,4844000.0,613250.0,4843750.0,-79.59362648090921,43.738137048613105,0.25
g_7_34,7,34,186.0,0.0,1.0,0.0,187.0,613000.0,613500.0,4844000.0,4844500.0,613250.0,4844250.0,-79.59352110873573,43.74263765010808,0.25
g_7_35,7,35,82.0,0.0,0.0,0.0,82.0,613000.0,613500.0,4844500.0,4845000.0,613250.0,4844750.0,-79.59341571212347,43.74713824784228,0.25
g_7_36,7,36,66.0,0.0,0.0,0.0,66.0,613000.0,613500.0,4845000.0,4845500.0,613250.0,4845250.0,-79.59331029106568,43.751638841815634,0.25
g_7_37,7,37,115.0,0.0,0.0,0.0,115.0,613000.0,613500.0,4845500.0,4846000.0,613250.0,4845750.0,-79.59320484555558,43.75613943202806,0.25
g_7_38,7,38,13.0,0.0,1.0,0.0,14.0,613000.0,613500.0,4846000.0,4846500.0,613250.0,4846250.0,-79.59309937558635,43.76064001847947,0.25
g_8_12,8,12,28.0,0.0,0.0,0.0,28.0,613500.0,614000.0,4833000.0,4833500.0,613750.0,4833250.0,-79.5896361000667,43.64354723974003,0.25
g_8_13,8,13,3.0,0.0,0.0,0.0,3.0,613500.0,614000.0,4833500.0,4834000.0,613750.0,4833750.0,-79.5895307770967,43.64804790826963,0.25
g_8_15,8,15,4.0,0.0,0.0,0.0,4.0,613500.0,614000.0,4834500.0,4835000.0,613750.0,4834750.0,-79.58932005793773,43.65704923404642,0.25
g_8_16,8,16,13.0,0.0,1.0,0.0,14.0,613500.0,614000.0,4835000.0,4835500.0,613750.0,4835250.0,-79.58921466173523,43.66154989129343,0.25
g_8_17,8,17,5.0,0.0,0.0,0.0,5.0,613500.0,614000.0,4835500.0,4836000.0,613750.0,4835750.0,-79.58910924110837,43.66605054477941,0.25
g_8_18,8,18,1.0,0.0,0.0,0.0,1.0,613500.0,614000.0,4836000.0,4836500.0,613750.0,4836250.0,-79.5890037960504,43.670551194504256,0.25
g_8_19,8,19,6.0,0.0,0.0,0.0,6.0,613500.0,614000.0,4836500.0,4837000.0,613750.0,4836750.0,-79.58889832655457,43.67505184046792,0.25
g_8_20,8,20,27.0,0.0,0.0,0.0,27.0,613500.0,614000.0,4837000.0,4837500.0,613750.0,4837250.0,-79.58879283261409,43.679552482670296,0.25
g_8_22,8,22,177.0,0.0,2.0,0.0,179.0,613500.0,614000.0,4838000.0,4838500.0,613750.0,4838250.0,-79.58858177137212,43.688553755790835,0.25
g_8_23,8,23,2.0,0.0,0.0,0.0,2.0,613500.0,614000.0,4838500.0,4839000.0,613750.0,4838750.0,-79.58847620405707,43.69305438670885,0.25
g_8_24,8,24,48.0,0.0,0.0,0.0,48.0,613500.0,614000.0,4839000.0,4839500.0,613750.0,4839250.0,-79.58837061227031,43.69755501386522,0.25
g_8_25,8,25,17.0,0.0,0.0,0.0,17.0,613500.0,614000.0,4839500.0,4840000.0,613750.0,4839750.0,-79.58826499600502,43.70205563725989,0.25
g_8_26,8,26,6.0,0.0,0.0,0.0,6.0,613500.0,614000.0,4840000.0,4840500.0,613750.0,4840250.0,-79.58815935525446,43.70655625689278,0.25
g_8_27,8,27,41.0,0.0,0.0,0.0,41.0,613500.0,614000.0,4840500.0,4841000.0,613750.0,4840750.0,-79.5880536900118,43.7110568727638,0.25
g_8_28,8,28,45.0,0.0,0.0,0.0,45.0,613500.0,614000.0,4841000.0,4841500.0,613750.0,4841250.0,-79.58794800027029,43.715557484872846,0.25
g_8_29,8,29,43.0,0.0,0.0,0.0,43.0,613500.0,614000.0,4841500.0,4842000.0,613750.0,4841750.0,-79.5878422860231,43.720058093219855,0.25
g_8_30,8,30,47.0,0.0,0.0,0.0,47.0,613500.0,614000.0,4842000.0,4842500.0,613750.0,4842250.0,-79.58773654726346,43.72455869780474,0.25
